math_score,read_score,scie_score,gender,immig,homelang,desk,room,quietplace,homecomputer,homeinternet,books,booksqty,timeread,joyread,misced,fisced,hisced,pared,cultposs,hedres,wealth,ictres,schlregion,schllocation,schltype,stratio,schsize,clsize,schid,stuid
413.70889,447.08539,422.96469,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-1.2321,ISCED 5B,ISCED 5B,ISCED 5B,14,-.3833,-.4396,.5241,.656,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82601562
378.0426,335.92291,376.1615,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,No,11-25 books,I do not read for enjoyment,-1.4526,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",11,-1.8434,-.8243,.7072000000000001,.3692,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82602048
501.37891,500.7037,464.33481,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,30 minutes or less a day,-.1542,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.7725,.0477,1.5119,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82603798
535.41669,605.02777,556.41913,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,No,More than 500 books,30 minutes or less a day,-.0872,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,1.8498,-.8243,.6999,1.2943,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82604228
575.96283,624.88971,564.0174,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,.0127,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-.4711,-.4396,1.0684,.0895,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82604547
560.81952,416.5755,455.84171,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-1.3214,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,.678,.0477,.6999,1.2943,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82605035
390.4805,387.78989,348.43509,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-.6850000000000001,ISCED 5B,ISCED 5B,ISCED 5B,14,-1.3625,-.4396,1.317,1.2943,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82607597
542.05511,565.35358,560.25677,Female,Native,Language of the test,No,Yes,Yes,Yes,Yes,Yes,101-200 books,More than 30 minutes to less than 60 minutes a day,-.5831,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",16,.0782,-.3792,1.6204,.7063,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82607655
355.58139,337.62781,384.2037,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-1.9715,"ISCED 3B, C",ISCED 1,"ISCED 3B, C",11,.2741,.2646,2.1705,.9144,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82607931
494.6665,535.90363,516.20789,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,More than 30 minutes to less than 60 minutes a day,.5744,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,.0019,-.1357,1.4577,.2604,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82608415
578.65997,552.13562,568.1933,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,More than 30 minutes to less than 60 minutes a day,.9271,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.7486,1.1793,.8787,.6901,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82608620
510.76651,424.72198,461.6608,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,-1.0096,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",16,-1.3625,1.1793,1.5119,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82609527
299.47479,325.55899,268.26419,Male,First-Generation,Other language,No,No,No,No,No,No,More than 500 books,I do not read for enjoyment,-2.7114,None,"ISCED 5A, 6","ISCED 5A, 6",16,-1.8434,-4.4106,-6.7931,-3.768,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82610303
434.2644,379.3024,453.12869,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,30 minutes or less a day,.2694,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,1.1114,-.4396,1.1188,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82612310
622.85083,572.18268,594.55573,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,-.6483,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.7725,1.1793,2.8142,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82612329
481.71881,481.7258,440.35971,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,I do not read for enjoyment,-.9016,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.9827,.0477,1.1713,.9144,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82615493
573.12158,620.73151,635.62732,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,30 minutes or less a day,.2694,ISCED 5B,ISCED 1,ISCED 5B,14,1.8498,.2646,.7308,.069,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82615753
549.24921,591.3764,601.21118,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,More than 30 minutes to less than 60 minutes a day,.5572,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,.6322,.0477,-.3309,-.722,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82616208
459.6684,455.98419,371.2775,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-1.4882,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,.7725,.0477,1.9498,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82616234
493.7608,455.1337,468.4465,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,I do not read for enjoyment,-1.352,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",16,1.1114,.0477,.537,.4949,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82616433
387.30219,422.1358,364.11569,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,I do not read for enjoyment,-2.7114,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,1.1114,1.1793,1.8365,1.2243,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82616716
600.04492,576.57379,610.52661,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,-1.1285,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,.0782,1.1793,2.4593,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82616826
367.8826,361.06851,421.09579,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,I do not read for enjoyment,-.2704,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.2588,.0477,.9998,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,22.7887,809,26-30 students,82600003,82617167
499.06061,475.522,458.79651,Female,Native,Language of the test,No,Yes,Yes,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-2.7114,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,.7725,-.3792,.6644,.3692,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82602661
589.39673,618.89551,651.50409,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,.0127,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,1.8498,1.1793,2.0696,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82603047
423.1799,434.44659,434.64529,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,1 to 2 hours a day,-.4081,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,-1.8434,-.4396,2.0696,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82603598
519.98041,594.35962,551.76312,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,-.0194,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,-1.8434,.0477,1.8493,3.601,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82603883
504.3367,443.87891,445.4939,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,-.5311,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,14,.7725,1.1793,2.4805,1.2943,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82604752
527.65277,590.73859,557.00629,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,More than 30 minutes to less than 60 minutes a day,-.2691,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,1.8498,1.1793,2.1705,.9144,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82605388
548.43439,478.5567,506.85809,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,More than 2 hours a day,2.0787,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,1.8498,1.1793,2.4038,3.601,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82605427
483.73721,459.60419,417.78079,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-1.4526,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",16,-.3833,.0477,1.5119,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82605547
661.21143,607.39447,568.75,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,30 minutes or less a day,.0249,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.7725,1.1793,1.1113,.6901,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82606246
556.42291,515.93628,514.13068,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,30 minutes or less a day,.0127,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.3902,.0477,.9805,.4826,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82606277
558.1037,497.4834,555.46753,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-.8176,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,.7725,1.1793,1.0124,.2111,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82607238
475.30579,457.03671,483.45139,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-.2388,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.2588,1.1793,1.4305,.9144,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82610414
566.36938,587.94611,592.32898,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,I do not read for enjoyment,-.9016,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.363,-.4396,1.5079,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82611047
506.08969,525.88641,543.3172,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,30 minutes or less a day,.1499,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,1.1114,1.1793,2.0186,3.601,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82612410
536.49902,568.04492,529.59729,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,30 minutes or less a day,.0995,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,1.8498,.0477,.7877,.6901,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82612631
570.51581,575.48071,569.729,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-.3571,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",16,-1.3625,.0477,1.0103,1.2943,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82613005
703.37488,610.54071,646.17322,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,.2694,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.2139,.0477,1.5119,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82613122
709.39819,665.00873,707.81329,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,201-500 books,I do not read for enjoyment,-.2704,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",12,-.4711,1.1793,1.7696,.3443,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82613124
437.1467,400.93188,408.11621,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-.4556,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,.0896,1.1793,1.1719,1.8669,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82613816
672.22888,664.21039,741.74811,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,30 minutes or less a day,-.2008,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.5792,1.1793,-.2003,-.044,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82614483
554.03247,559.76569,550.50079,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,More than 30 minutes to less than 60 minutes a day,.0127,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.7725,1.1793,1.4577,.5236,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82614528
533.43073,568.34631,599.24573,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-.0176,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",12,.0782,1.1793,.3387,-.1255,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82615484
569.7887,512.07642,544.82098,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-.4556,ISCED 5B,ISCED 5B,ISCED 5B,14,-.5792,.0477,.7877,.6901,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82617091
478.49121,506.80649,503.5679,Male,Second-Generation,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,11-25 books,30 minutes or less a day,.2694,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,.7725,1.1793,.6774,.6901,Great Britain: England,A small town (3 000 to about 15 000 people),Private Government-dependent,16.9652,1705,21-25 students,82600010,82617413
524.71338,493.05771,539.72461,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-1.9715,ISCED 5B,ISCED 5B,ISCED 5B,14,-.1316,.0477,1.9095,1.7421,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82600128
442.46939,408.5361,433.75479,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,-.4466,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",16,-.8559,-.1897,.4842,-.112,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82602684
499.10629,493.43649,488.07031,Male,Native,Language of the test,Yes,Yes,No,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-1.9715,ISCED 2,ISCED 2,ISCED 2,10,-1.0715,-1.0752,.6796,.135,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82602982
309.4993,350.76791,337.85461,Male,First-Generation,Other language,Yes,No,No,Yes,No,No,11-25 books,I do not read for enjoyment,-.4042,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",16,-.0506,-.9302,-.3113,-.3141,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82603972
513.78168,453.617,511.18759,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,101-200 books,I do not read for enjoyment,-.2849,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",16,1.8498,1.1793,1.0844,-.0154,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82604777
413.17429,455.95999,470.89621,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,No,26-100 books,I do not read for enjoyment,-1.4882,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",11,-.4711,-.4903,-.1426,-.6231,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82605450
376.22711,413.1629,351.39029,Male,Native,Language of the test,Yes,Yes,Yes,Yes,No,Yes,26-100 books,I do not read for enjoyment,.2381,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",16,-.4711,-.6853,-.7478,-1.7063,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82608460
460.9126,421.37891,453.57141,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,More than 500 books,I do not read for enjoyment,-1.3214,ISCED 5B,"ISCED 3B, C",ISCED 5B,14,-.1316,1.1793,2.4038,3.601,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82610104
490.27319,490.64459,504.21521,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,More than 30 minutes to less than 60 minutes a day,-.2406,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",11,-1.3625,.0477,-.3738,-1.2176,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82612850
408.33221,428.51251,433.35059,Male,Native,Language of the test,No,No,Yes,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-2.7114,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-1.8434,-1.2793,.3824,-.112,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82613121
457.00809,482.73679,487.47061,Female,Native,Language of the test,No,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-.2704,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-1.8434,-.8449,.7072000000000001,.3692,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82613866
451.28021,460.16409,520.7738,Male,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,0-10 books,I do not read for enjoyment,-1.1031,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",11,-1.8434,1.1793,.2982,-.6231,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82613977
492.54019,531.32159,527.86731,Female,Native,Language of the test,Yes,No,Yes,Yes,Yes,Yes,11-25 books,More than 30 minutes to less than 60 minutes a day,1.2316,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",16,.2139,.0477,.2964,.6901,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82614003
500.93701,585.71741,532.95599,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,No,26-100 books,More than 30 minutes to less than 60 minutes a day,.4067,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",12,-1.8434,-.4903,.188,-.7849,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82614837
562.96362,656.09509,578.4859,Female,Native,Language of the test,Yes,No,Yes,Yes,Yes,Yes,26-100 books,More than 30 minutes to less than 60 minutes a day,.2694,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",16,-.4711,1.1793,.0519,.333,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82614957
477.00629,416.72299,446.64691,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,I do not read for enjoyment,-1.7421,ISCED 2,ISCED 5B,ISCED 5B,14,1.1114,1.1793,1.3195,.3509,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82615387
481.47919,467.26019,531.7301,Female,Native,Language of the test,Yes,Yes,Yes,Yes,Yes,Yes,26-100 books,More than 30 minutes to less than 60 minutes a day,.3568,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",11,-.2588,.7604,.7506,.0895,Great Britain: Northern Ireland,"A village, hamlet or rural area (fewer than 3 000 people)",Public,12.129,188,16-20 students,82600011,82616603
